x,city,y
2015,Vilnius,31.59793482362252
2015,Kaunas,38.60316824411171
2015,Panevėžys,50.27483292911534
2015,Alytus,36.9011064881266
2015,Klaipėda,44.894774849125696
2015,Šiauliai,51.38538071457493
2016,Vilnius,35.633676330959965
2016,Kaunas,42.85400138707986
2016,Panevėžys,42.543300105952824
2016,Alytus,35.677727941039635
2016,Klaipėda,48.160491406913685
2016,Šiauliai,40.72721576613179
2017,Vilnius,36.59991509668731
2017,Kaunas,45.38580518035475
2017,Panevėžys,45.50670068065102
2017,Alytus,40.24898657086319
2017,Klaipėda,51.48805551848392
2017,Šiauliai,44.39236093869485
2018,Vilnius,35.21796618245904
2018,Kaunas,47.91114634841815
2018,Panevėžys,43.36514428538968
2018,Alytus,42.75194861149191
2018,Klaipėda,44.19221757830699
2018,Šiauliai,39.77052021394209
2019,Vilnius,33.30657168977328
2019,Kaunas,44.08564335233346
2019,Panevėžys,43.53151903853932
2019,Alytus,41.350531107739
2019,Klaipėda,43.86207082303668
2019,Šiauliai,46.511166055984205
